zipcode,major_city,county,state,population,population_density,land_area_in_sqmi,housing_units,occupied_housing_units,median_home_value,median_household_income
20207,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20208,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20210,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20211,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20212,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20213,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20214,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20215,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20216,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20217,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20218,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20219,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20220,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20221,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20222,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20223,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20224,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20226,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20227,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20228,Washington,District of Columbia,DC,0,NA,0,0,0,NA,NA
20229,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20230,Washington,District of Columbia,DC,0,NA,0,0,0,NA,NA
20232,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20233,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20235,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20237,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20238,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20239,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20240,Washington,District of Columbia,DC,0,NA,0,0,0,NA,NA
20241,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20242,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20244,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20245,Washington,District of Columbia,DC,0,NA,0,0,0,NA,NA
20250,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20251,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20254,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20260,Washington,District of Columbia,DC,0,NA,0,0,0,NA,NA
20261,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20262,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20265,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20266,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20268,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20270,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20277,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20289,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20299,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20301,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20303,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20306,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20307,Washington,District of Columbia,DC,353,2669,0.13,0,0,NA,NA
20310,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20314,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20317,Washington,District of Columbia,DC,903,1982,0.46,1014,696,NA,21591
20318,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20319,Washington,District of Columbia,DC,84,601,0.14,0,0,NA,NA
20330,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20340,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20350,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20355,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20370,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20372,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20373,Naval Anacost Annex,District of Columbia,DC,131,362,0.36,0,0,NA,NA
20374,Washington Navy Yard,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20375,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20376,Washington Navy Yard,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20380,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20388,Washington Navy Yard,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20389,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20390,Washington,District of Columbia,DC,584,138322,0,0,0,NA,NA
20391,Washington Navy Yard,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20392,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20393,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20394,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20395,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20398,Washington Navy Yard,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20401,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20402,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20403,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20404,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20405,Washington,District of Columbia,DC,0,NA,0,0,0,NA,NA
20406,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20407,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20408,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20409,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20410,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20411,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20412,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20413,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20414,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20415,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20416,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20418,Washington,District of Columbia,DC,0,NA,0,0,0,NA,NA
20419,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20420,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20421,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20422,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20423,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20424,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20425,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20426,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20427,Washington,District of Columbia,DC,0,NA,0,0,0,NA,NA
20428,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20429,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20431,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20433,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20434,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20435,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20436,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20437,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20439,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20440,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20441,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20442,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20444,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20447,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20451,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20453,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20456,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20460,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20463,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20468,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20469,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20470,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20472,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20500,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20501,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20502,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20503,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20504,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20505,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20506,Washington,District of Columbia,DC,0,NA,0,0,0,NA,NA
20507,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20508,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20509,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20510,Washington,District of Columbia,DC,0,NA,0,0,0,NA,NA
20511,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20515,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20520,Washington,District of Columbia,DC,0,NA,0,0,0,NA,NA
20521,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20522,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20523,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20524,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20525,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20526,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20527,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20528,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20529,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20530,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20531,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20532,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20533,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20534,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20535,Washington,District of Columbia,DC,8,1604,0,0,0,NA,NA
20536,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20537,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20538,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20539,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20540,Washington,District of Columbia,DC,0,NA,0,0,0,NA,NA
20541,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20542,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20543,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20544,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20546,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20547,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20548,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20549,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20551,Washington,District of Columbia,DC,0,NA,0,0,0,NA,NA
20552,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20553,Washington,District of Columbia,DC,0,NA,0,0,0,NA,NA
20554,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20555,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20557,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20558,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20559,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20560,Washington,District of Columbia,DC,0,NA,0,0,0,NA,NA
20565,Washington,District of Columbia,DC,0,NA,0,0,0,NA,NA
20566,Washington,District of Columbia,DC,0,NA,0,0,0,NA,NA
20570,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20571,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20572,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20573,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20575,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20576,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20577,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20578,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20579,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20580,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20581,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20585,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20586,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20590,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20591,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20593,Washington,District of Columbia,DC,0,NA,0,0,0,NA,NA
20594,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20597,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20599,Washington,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
56901,Parcel Return Service,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
56902,Parcel Return Service,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
56904,Parcel Return Service,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
56915,Parcel Return Service,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
56920,Parcel Return Service,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
56933,Parcel Return Service,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
56944,Parcel Return Service,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
56945,Parcel Return Service,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
56950,Parcel Return Service,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
56965,Parcel Return Service,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
56972,Parcel Return Service,District of Columbia,DC,NA,NA,NA,NA,NA,NA,NA
20610,Barstow,Calvert County,MD,NA,NA,NA,NA,NA,NA,NA
20615,Broomes Island,Calvert County,MD,405,557,0.73,204,156,361100,114375
20629,Dowell,Calvert County,MD,535,1241,0.43,341,246,444900,143523
20639,Huntingtown,Calvert County,MD,14227,340,41.86,4832,4584,432200,123906
20657,Lusby,Calvert County,MD,20483,681,30.08,7765,6957,266700,90399
20676,Port Republic,Calvert County,MD,3871,234,16.55,1545,1336,384700,91987
20678,Prince Frederick,Calvert County,MD,11045,258,42.75,4121,3854,347900,80087
20685,Saint Leonard,Calvert County,MD,6471,291,22.26,2499,2235,335900,109750
20688,Solomons,Calvert County,MD,1828,1277,1.43,1188,970,398100,61458
20689,Sunderland,Calvert County,MD,1694,218,7.78,579,558,400900,127375
20714,North Beach,Calvert County,MD,4345,1864,2.33,2179,1848,273800,68171
20732,Chesapeake Beach,Calvert County,MD,9919,974,10.19,3957,3575,344300,97649
20736,Owings,Calvert County,MD,8904,349,25.54,3037,2940,436800,114539
20754,Dunkirk,Calvert County,MD,6951,412,16.87,2420,2349,449400,109211
20601,Waldorf,Charles County,MD,24156,541,44.65,8722,8336,287800,93020
20602,Waldorf,Charles County,MD,24955,1804,13.83,9736,8960,246400,79611
20603,Waldorf,Charles County,MD,28967,1696,17.08,10317,9766,300700,102605
20604,Waldorf,Charles County,MD,NA,NA,NA,NA,NA,NA,NA
20611,Bel Alton,Charles County,MD,1078,153,7.04,413,387,302700,64773
20612,Benedict,Charles County,MD,261,1118,0.23,142,120,406000,42143
20616,Bryans Road,Charles County,MD,5857,597,9.81,2203,2029,244600,91645
20617,Bryantown,Charles County,MD,781,119,6.54,301,291,385100,96042
20622,Charlotte Hall,Charles County,MD,4900,131,37.38,1485,1426,352800,98750
20625,Cobb Island,Charles County,MD,1062,2209,0.48,609,451,240200,62440
20632,Faulkner,Charles County,MD,347,47,7.35,131,125,239200,50987
20637,Hughesville,Charles County,MD,5423,175,30.95,1882,1799,378500,128750
20640,Indian Head,Charles County,MD,10438,250,41.69,4089,3683,251700,68431
20643,Ironsides,Charles County,MD,NA,NA,NA,NA,NA,NA,NA
20645,Issue,Charles County,MD,857,390,2.2,386,329,423200,96000
20646,La Plata,Charles County,MD,18890,229,82.46,7015,6662,350300,104971
20658,Marbury,Charles County,MD,854,284,3.01,377,335,316500,82000
20661,Mount Victoria,Charles County,MD,NA,NA,NA,NA,NA,NA,NA
20662,Nanjemoy,Charles County,MD,2934,51,57.11,1229,1051,299100,85069
20664,Newburg,Charles County,MD,2987,73,41.12,1384,1161,288000,64276
20675,Pomfret,Charles County,MD,1671,277,6.04,613,592,342900,89934
20677,Port Tobacco,Charles County,MD,2322,151,15.41,878,816,432700,130857
20682,Rock Point,Charles County,MD,NA,NA,NA,NA,NA,NA,NA
20693,Welcome,Charles County,MD,1088,54,20.19,424,383,364100,110924
20695,White Plains,Charles County,MD,6794,537,12.65,2574,2460,320800,100758
21701,Frederick,Frederick County,MD,35293,907,38.91,15847,14608,276200,72646
21702,Frederick,Frederick County,MD,38847,961,40.41,15617,14641,267400,69948
21703,Frederick,Frederick County,MD,32854,988,33.26,12772,11954,250900,76531
21704,Frederick,Frederick County,MD,13321,509,26.17,4439,4224,397900,116869
21705,Frederick,Frederick County,MD,8,338,0.02,0,0,NA,NA
21709,Frederick,Frederick County,MD,NA,NA,NA,NA,NA,NA,NA
21710,Adamstown,Frederick County,MD,4515,177,25.56,1710,1620,405500,102167
21714,Braddock Heights,Frederick County,MD,99,3425,0.03,61,43,NA,NA
21716,Brunswick,Frederick County,MD,4885,1512,3.23,2054,1888,175900,56708
21717,Buckeystown,Frederick County,MD,54,147,0.37,25,22,NA,NA
21718,Burkittsville,Frederick County,MD,151,333,0.45,74,69,300000,71429
21727,Emmitsburg,Frederick County,MD,5850,183,32.01,1811,1676,243200,57455
21754,Ijamsville,Frederick County,MD,6323,267,23.72,2198,2126,444400,136289
21755,Jefferson,Frederick County,MD,5591,162,34.44,2103,2023,351500,102972
21757,Keymar,Frederick County,MD,3036,81,37.65,1170,1103,298500,72572
21758,Knoxville,Frederick County,MD,4921,152,32.43,1882,1749,258700,88274
21759,Ladiesburg,Frederick County,MD,NA,NA,NA,NA,NA,NA,NA
21762,Libertytown,Frederick County,MD,249,677,0.37,100,89,327600,94375
21769,Middletown,Frederick County,MD,11236,276,40.78,4149,3979,357400,106646
21770,Monrovia,Frederick County,MD,5164,470,11,1780,1739,392700,105325
21771,Mount Airy,Frederick County,MD,29563,348,85.06,10200,9845,392400,107775
21773,Myersville,Frederick County,MD,5460,141,38.72,2080,1948,354700,90769
21774,New Market,Frederick County,MD,11662,810,14.4,4073,3918,345000,113086
21775,New Midway,Frederick County,MD,NA,NA,NA,NA,NA,NA,NA
21777,Point Of Rocks,Frederick County,MD,1470,699,2.1,528,492,273400,106667
21778,Rocky Ridge,Frederick County,MD,1094,63,17.45,438,409,265200,78158
21780,Sabillasville,Frederick County,MD,1625,72,22.49,661,580,223700,64545
21788,Thurmont,Frederick County,MD,11622,174,66.76,4718,4427,256900,74471
21790,Tuscarora,Frederick County,MD,100,26,3.92,44,43,NA,28889
21792,Unionville,Frederick County,MD,NA,NA,NA,NA,NA,NA,NA
21793,Walkersville,Frederick County,MD,9775,479,20.4,3591,3404,288100,81970
21798,Woodsboro,Frederick County,MD,2345,142,16.54,896,861,322600,80000
22602,Winchester,Frederick County,VA,28443,258,110.25,11156,10299,238500,72388
22603,Winchester,Frederick County,VA,13910,142,98.02,5671,5272,214600,56944
22622,Brucetown,Frederick County,VA,NA,NA,NA,NA,NA,NA,NA
22624,Clear Brook,Frederick County,VA,2565,133,19.29,999,946,274300,61771
22625,Cross Junction,Frederick County,VA,3641,83,43.82,1534,1306,196500,74458
